id,name,canonical_name,type
0,miR-21 target program,mir-21 target program,pathway
1,ABC transporter program,abc transporter program,pathway
2,Cisplatin support module,cisplatin support module,pathway
3,Sphingolipid metabolism,sphingolipid metabolism,pathway
4,Base excision repair,base excision repair,pathway
5,Cisplatin resistance lung signature,cisplatin resistance lung signature,pathway
6,Cisplatin sensitivity lung signature,cisplatin sensitivity lung signature,pathway
7,ABC-family proteins mediated transport,abc-family proteins mediated transport,pathway
8,ADORA2B mediated anti-inflammatory cytokines production,adora2b mediated anti-inflammatory cytokines production,pathway
9,ADP signalling through P2Y purinoceptor 1,adp signalling through p2y purinoceptor 1,pathway
10,ADP signalling through P2Y purinoceptor 12,adp signalling through p2y purinoceptor 12,pathway
11,ALK mutants bind TKIs,alk mutants bind tkis,pathway
12,APC/C-mediated degradation of cell cycle proteins,apc/c-mediated degradation of cell cycle proteins,pathway
13,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,apc/c:cdh1 mediated degradation of cdc20 and other apc/c:cdh1 targeted proteins in late mitosis/early g1,pathway
14,ARMS-mediated activation,arms-mediated activation,pathway
15,ATP-dependent chromatin remodelers,atp-dependent chromatin remodelers,pathway
16,AURKA Activation by TPX2,aurka activation by tpx2,pathway
17,Abacavir ADME,abacavir adme,pathway
18,Abacavir transmembrane transport,abacavir transmembrane transport,pathway
19,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,aberrant regulation of mitotic g1/s transition in cancer due to rb1 defects,pathway
20,Aberrant regulation of mitotic cell cycle due to RB1 defects,aberrant regulation of mitotic cell cycle due to rb1 defects,pathway
21,Acetylcholine Neurotransmitter Release Cycle,acetylcholine neurotransmitter release cycle,pathway
22,Activated NOTCH1 Transmits Signal to the Nucleus,activated notch1 transmits signal to the nucleus,pathway
23,Activated NTRK2 signals through FYN,activated ntrk2 signals through fyn,pathway
24,Activated NTRK2 signals through PI3K,activated ntrk2 signals through pi3k,pathway
25,Activated NTRK3 signals through PI3K,activated ntrk3 signals through pi3k,pathway
26,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,activated pkn1 stimulates transcription of ar (androgen receptor) regulated genes klk2 and klk3,pathway
27,Activated point mutants of FGFR2,activated point mutants of fgfr2,pathway
28,Activation of AMPK downstream of NMDARs,activation of ampk downstream of nmdars,pathway
29,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,activation of apc/c and apc/c:cdc20 mediated degradation of mitotic proteins,pathway
30,Activation of BAD and translocation to mitochondria ,activation of bad and translocation to mitochondria,pathway
31,Activation of BH3-only proteins,activation of bh3-only proteins,pathway
32,Activation of G protein gated Potassium channels,activation of g protein gated potassium channels,pathway
33,Activation of GABAB receptors,activation of gabab receptors,pathway
34,Activation of HOX genes during differentiation,activation of hox genes during differentiation,pathway
35,"Activation of NIMA Kinases NEK9, NEK6, NEK7","activation of nima kinases nek9, nek6, nek7",pathway
36,Activation of NMDA receptors and postsynaptic events,activation of nmda receptors and postsynaptic events,pathway
37,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,activation of ppargc1a (pgc-1alpha) by phosphorylation,pathway
38,Activation of TRKA receptors,activation of trka receptors,pathway
39,Activation of anterior HOX genes in hindbrain development during early embryogenesis,activation of anterior hox genes in hindbrain development during early embryogenesis,pathway
40,Activation of kainate receptors upon glutamate binding,activation of kainate receptors upon glutamate binding,pathway
41,Activation of the AP-1 family of transcription factors,activation of the ap-1 family of transcription factors,pathway
42,Activation of the pre-replicative complex,activation of the pre-replicative complex,pathway
43,Acyl chain remodelling of PE,acyl chain remodelling of pe,pathway
44,Adaptive Immune System,adaptive immune system,pathway
45,Adherens junctions interactions,adherens junctions interactions,pathway
46,Adipogenesis,adipogenesis,pathway
47,"Adrenaline,noradrenaline inhibits insulin secretion","adrenaline,noradrenaline inhibits insulin secretion",pathway
48,Aggrephagy,aggrephagy,pathway
49,Amino acid transport across the plasma membrane,amino acid transport across the plasma membrane,pathway
50,Amino acids regulate mTORC1,amino acids regulate mtorc1,pathway
51,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,amplification of signal from unattached kinetochores via a mad2 inhibitory signal,pathway
52,Amplification of signal from the kinetochores,amplification of signal from the kinetochores,pathway
53,Amyloid fiber formation,amyloid fiber formation,pathway
54,Anchoring fibril formation,anchoring fibril formation,pathway
55,Anchoring of the basal body to the plasma membrane,anchoring of the basal body to the plasma membrane,pathway
56,Anti-inflammatory response favouring Leishmania parasite infection,anti-inflammatory response favouring leishmania parasite infection,pathway
57,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,antigen activates b cell receptor (bcr) leading to generation of second messengers,pathway
58,Antigen processing-Cross presentation,antigen processing-cross presentation,pathway
59,Antigen processing: Ubiquitination & Proteasome degradation,antigen processing: ubiquitination & proteasome degradation,pathway
